Wall time,Step,Acc,Loss
1673258411,0,0.439334631,2.880400181
1673258420,1,0.454011738,2.759316921
1673258430,2,0.462817997,2.597154856
1673258440,3,0.529354215,2.339671612
1673258451,4,0.50293541,2.381486416
1673258463,5,0.505870819,2.497877359
1673258474,6,0.573385537,2.136375189
1673258485,7,0.549902141,2.207954645
1673258494,8,0.544031322,2.106255293
1673258505,9,0.582191765,2.032504797
1673258520,10,0.572407067,1.96123457
1673258535,11,0.623287678,1.740871906
1673258549,12,0.589041114,1.908766985
1673258563,13,0.641878664,1.629963279
1673258576,14,0.678082168,1.383984447
1673258589,15,0.652641892,1.572535396
1673258603,16,0.682974577,1.301780701
1673258616,17,0.694716215,1.280313849
1673258629,18,0.713307261,1.130662322
1673258644,19,0.707436383,1.213858843
1673258657,20,0.762230933,0.962648451
1673258671,21,0.772015631,0.878379107
1673258684,22,0.791585147,0.851016164
1673258699,23,0.800391376,0.733356118
1673258712,24,0.851271987,0.638829887
1673258727,25,0.838551879,0.573976874
1673258741,26,0.857142866,0.545649707
1673258755,27,0.874755383,0.49177438
1673258768,28,0.896281779,0.373079419
1673258780,29,0.876712322,0.442980945
1673258792,30,0.906066537,0.355410725
1673258804,31,0.917808235,0.311506003
1673258817,32,0.920743644,0.267043054
1673258829,33,0.949119389,0.193383798
1673258841,34,0.940313101,0.198198244
1673258854,35,0.94324851,0.192007303
1673258867,36,0.969667315,0.134913892
1673258881,37,0.969667315,0.114764914
1673258895,38,0.964774966,0.119574592
1673258907,39,0.976516604,0.113200709
1673258920,40,0.973581195,0.090407535
1673258931,41,0.975538135,0.090503305
1673258945,42,0.983365953,0.068656527
1673258960,43,0.989236772,0.056079142
1673258974,44,0.984344423,0.063757695
1673258988,45,0.980430543,0.069966249
1673259001,46,0.987279832,0.061223131
1673259015,47,0.988258302,0.05442521
1673259029,48,0.985322893,0.06762705
1673259043,49,0.988258302,0.060088381
1673259058,50,0.983365953,0.065407835
1673259072,51,0.987279832,0.044496924
1673259086,52,0.987279832,0.044201385
1673259101,53,0.988258302,0.048302423
1673259115,54,0.986301363,0.046941128
1673259130,55,0.994129181,0.029445225
1673259144,56,0.989236772,0.044793651
1673259158,57,0.996086121,0.022277517
1673259170,58,0.996086121,0.023181053
1673259182,59,0.989236772,0.038254343
1673259195,60,0.995107651,0.025759198
1673259207,61,0.989236772,0.032603789
1673259219,62,0.994129181,0.023211101
1673259232,63,0.992172182,0.030665793
1673259244,64,0.993150651,0.022051744
1673259253,65,0.992172182,0.033940565
1673259266,66,0.994129181,0.026175914
1673259277,67,0.990215242,0.039594535
1673259288,68,0.989236772,0.038309466
1673259298,69,0.995107651,0.026304893
1673259309,70,0.994129181,0.021140641
1673259320,71,0.99804306,0.020370824
1673259332,72,0.991193712,0.028575728
1673259344,73,0.993150651,0.024237081
1673259356,74,0.994129181,0.019251933
1673259368,75,0.993150651,0.027965736
1673259380,76,0.995107651,0.021006258
1673259392,77,0.994129181,0.027396386
1673259402,78,0.992172182,0.021731913
1673259412,79,0.991193712,0.035115145
1673259421,80,0.996086121,0.021990625
1673259430,81,0.992172182,0.02763775
1673259440,82,0.995107651,0.025213439
1673259450,83,0.990215242,0.030027049
1673259460,84,0.99706459,0.018972838
1673259471,85,0.993150651,0.027734881
1673259483,86,0.993150651,0.030013032
1673259494,87,0.995107651,0.016775038
1673259505,88,0.993150651,0.019952105
1673259516,89,0.995107651,0.017636197
1673259527,90,0.996086121,0.020985061
1673259540,91,0.995107651,0.013274078
1673259552,92,0.99706459,0.009755768
1673259562,93,0.995107651,0.02243688
1673259571,94,0.993150651,0.024615182
1673259580,95,0.992172182,0.032247663
1673259589,96,0.99804306,0.024586288
1673259598,97,0.994129181,0.025691546
1673259608,98,0.985322893,0.059653491
1673259618,99,0.994129181,0.029135795
1673259629,100,0.994129181,0.024840277
1673259640,101,0.991193712,0.028917907
1673259651,102,0.995107651,0.016275475
1673259661,103,0.991193712,0.029776467
1673259672,104,0.994129181,0.01744942
1673259682,105,0.99706459,0.012952133
1673259693,106,0.993150651,0.03632943
1673259704,107,0.991193712,0.028460423
1673259714,108,0.992172182,0.036201105
1673259724,109,0.99902153,0.006081877
1673259735,110,0.993150651,0.017058928
1673259745,111,0.991193712,0.033608668
1673259755,112,0.991193712,0.033049919
1673259766,113,0.992172182,0.036961921
1673259777,114,0.99902153,0.012104705
1673259787,115,0.996086121,0.016727062
1673259798,116,0.99804306,0.033545222
1673259809,117,0.996086121,0.01384314
1673259820,118,0.99902153,0.009484708
1673259830,119,0.99804306,0.007728023
1673259841,120,0.994129181,0.018015685
1673259851,121,0.99804306,0.008572347
1673259862,122,0.99804306,0.010193808
1673259872,123,0.99902153,0.004706358
1673259883,124,0.99804306,0.007283516
1673259893,125,0.99902153,0.002975398
1673259903,126,1,0.002002569
1673259913,127,0.99902153,0.008663948
1673259924,128,0.99902153,0.005274155
1673259935,129,0.99706459,0.007833396
1673259945,130,1,0.002817119
1673259956,131,0.99804306,0.005258307
1673259966,132,0.99902153,0.004587058
1673259977,133,1,0.001883066
1673259987,134,0.99902153,0.002500457
1673259998,135,0.996086121,0.011760643
1673260009,136,0.99706459,0.011323641
1673260019,137,0.996086121,0.01843413
1673260030,138,0.99902153,0.005184091
1673260040,139,0.99902153,0.006392714
1673260051,140,1,0.001901014
1673260062,141,0.99706459,0.005514773
1673260072,142,0.996086121,0.007761064
1673260083,143,0.99706459,0.009095708
1673260094,144,0.99706459,0.006786346
1673260104,145,0.99902153,0.00269802
1673260115,146,0.99804306,0.006195015
1673260125,147,0.99804306,0.011694318
1673260136,148,1,0.001933422
1673260146,149,0.996086121,0.006300679
1673260157,150,0.99902153,0.003643252
1673260168,151,0.99902153,0.005848916
1673260179,152,0.99902153,0.003403692
1673260189,153,0.99706459,0.012370404
1673260200,154,0.996086121,0.010665623
1673260210,155,0.996086121,0.015043477
1673260221,156,1,0.001348701
1673260231,157,0.99804306,0.007429558
1673260242,158,0.99804306,0.006594797
1673260253,159,0.99902153,0.003278306
1673260264,160,0.99706459,0.007087003
1673260274,161,0.996086121,0.01320506
1673260285,162,0.99706459,0.00552497
1673260295,163,0.99804306,0.006188965
1673260306,164,1,0.005168547
1673260316,165,0.99804306,0.006118999
1673260327,166,0.99706459,0.007749296
1673260338,167,0.99706459,0.011378883
1673260348,168,0.99804306,0.007376636
1673260359,169,0.99706459,0.007726992
1673260370,170,0.99706459,0.006443059
1673260380,171,0.99804306,0.007191329
1673260391,172,0.99902153,0.00465984
1673260402,173,1,0.000566438
1673260411,174,0.99902153,0.005307682
1673260420,175,0.99902153,0.004698331
1673260429,176,1,0.002214904
1673260438,177,0.99706459,0.006137055
1673260446,178,0.99804306,0.005145268
1673260455,179,1,0.005720369
1673260463,180,0.99804306,0.009926912
1673260473,181,0.996086121,0.007501152
1673260481,182,0.996086121,0.01110294
